Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Smith Tavern,Westchester,9/15/1983,90NR02452,-73.69374597,41.12644229,POINT (-73.69374597 41.12644229)
"Peck, Henry M., House",Rockland,11/2/2000,00NR01648,-73.98700149,41.21237452,POINT (-73.98700149 41.21237452)
Hoffman House,Dutchess,7/8/2007,96NR00984,-73.93895232,41.70951063,POINT (-73.93895232 41.70951063)
Reilly's Store,Sullivan,11/27/1992,92NR00377,-75.06234742,41.70866928,POINT (-75.06234742 41.70866928)
Unitarian Universalist Cobblestone Church,Cortland,7/1/1993,93NR00455,-76.17769905,42.60169638,POINT (-76.17769905 42.60169638)
"North Goodman Street, Building at 551--555",Monroe,3/20/1986,90NR01463,-77.58279056,43.16415034,POINT (-77.58279056 43.16415034)
Silk Street Bridge,Tioga,4/30/1998,98NR01302,-76.19349138,42.21746227,POINT (-76.19349138 42.21746227)
LITTLE JENNIE (Chesapeake Bay bugeye),Suffolk,5/12/1986,90NR01867,-73.37416987,40.89339957,POINT (-73.37416987 40.89339957)
1841 Goshen Courthouse,Orange,3/4/1975,90NR02338,-74.32205906,41.40296215,POINT (-74.32205906 41.40296215)
Farmingdale Railroad Station,Nassau,11/13/1991,91NR00006,-73.4417396,40.73566326,POINT (-73.4417396 40.73566326)
Enlarged Erie Canal Historic District (Discontiguous),Albany,5/14/2004,03NR05118,-73.70394924,42.77313565,POINT (-73.70394924 42.77313565)
"Akins, Lyman P., House",Tioga,7/2/1984,90NR02222,-76.24906861,42.31473847,POINT (-76.24906861 42.31473847)
Rufus and Flora Bates House,Tompkins,8/29/2010,08NR05882,-76.49244442,42.43829771,POINT (-76.49244442 42.43829771)
St. Mary of Sorrows Roman Catholic Church,Erie,,90NR03150,-78.8429131,42.90121191,POINT (-78.8429131 42.90121191)
West Strand Historic District,Ulster,6/28/1974,90NR01100,-73.98331082,41.91799903,POINT (-73.98331082 41.91799903)
"Sahler, J., House",Ulster,8/12/1999,96NR01071,-74.19121033,41.82442051,POINT (-74.19121033 41.82442051)
District School No. 5,Steuben,3/21/2001,01NR01734,-77.1324314,42.22354329,POINT (-77.1324314 42.22354329)
Hall of Fame Complex,Bronx,9/7/1979,90NR00050,-73.91397902,40.85875123,POINT (-73.91397902 40.85875123)
Downtown Ossining Historic District (Boundary Expansion),Westchester,1/2/2013,11NR06298,-73.86325616,41.16083982,POINT (-73.86325616 41.16083982)
South Main Street Historic District,Ontario,12/31/1974,90NR01989,-76.98241927,42.8586069,POINT (-76.98241927 42.8586069)
Hudson Historic District,Columbia,10/21/1985,90NR00252,-73.78960242,42.25067956,POINT (-73.78960242 42.25067956)
West Fulton Methodist Church,Schoharie,2/5/2013,12NR06391,-74.46171781,42.56367421,POINT (-74.46171781 42.56367421)
Byrdcliff Historic District,Ulster,5/7/1979,90NR01095,-74.13809222,42.05533528,POINT (-74.13809222 42.05533528)
Palmer Brook Bridge,Clinton,11/12/1999,98NR01357,-73.67415992,44.44383858,POINT (-73.67415992 44.44383858)
"Bly, Smith, House",Chautauqua,10/1/1974,90NR00109,-79.3744746,42.09506713,POINT (-79.3744746 42.09506713)
Houser-Conklin House,Rockland,10/1/2010,10NR06142,-74.06604077,41.13439433,POINT (-74.06604077 41.13439433)
Niskayuna Reformed Church,Schenectady,4/18/1979,90NR02650,-73.83156678,42.77652662,POINT (-73.83156678 42.77652662)
Emmanuel Lutheran Church of Harlemville and Cemetery,Columbia,1/24/2002,01NR01797,-73.56630353,42.26716195,POINT (-73.56630353 42.26716195)
Liberty Downtown Historic District,Sullivan,5/26/2006,05NR05525,-74.74603185,41.80093952,POINT (-74.74603185 41.80093952)
St. Paul?s Lutheran Church Historic District,Schoharie,9/10/2014,14NR06571,-74.30854862,42.66279315,POINT (-74.30854862 42.66279315)
Pillsbury Mountain Fire Observation Station,Hamilton,9/9/2010,06NR05674,-74.49960493,43.58402703,POINT (-74.49960493 43.58402703)
Near Westside Historic District,Chemung,12/22/1983,90NR00145,-76.8161566,42.08661573,POINT (-76.8161566 42.08661573)
Ziegler Residence,Onondaga,2/14/1997,96NR01122,-76.13666621,43.06667584,POINT (-76.13666621 43.06667584)
First Methodist Church of Lansingburgh,Rensselaer,6/23/2016,16NR00020,-73.67512998,42.77569005,POINT (-73.67512998 42.77569005)
Dunning Street Cemetery,Saratoga,2/23/2015,14NR06605,-73.79554177,42.97163486,POINT (-73.79554177 42.97163486)
Page House,Sullivan,11/27/1992,92NR00423,-75.04796736,41.6829564,POINT (-75.04796736 41.6829564)
Walter Beckwith House,Dutchess,5/31/2016,14NR06610,-73.72832235,41.842908,POINT (-73.72832235 41.842908)
Hunziker Residence,Onondaga,2/14/1997,96NR01125,-76.17053744,43.02300633,POINT (-76.17053744 43.02300633)
Ames Academy Building,Montgomery,1/24/2002,01NR01836,-74.59962225,42.83752884,POINT (-74.59962225 42.83752884)
"Delaware, Lackawanna & Western Railroad Station",Steuben,11/21/1991,91NR00287,-77.09130374,42.16246143,POINT (-77.09130374 42.16246143)
First Baptist Church and Rectory,Westchester,7/21/1983,90NR02523,-73.85846261,41.07448136,POINT (-73.85846261 41.07448136)
Old Town Green Historic District,Suffolk,9/26/1985,90NR01833,-73.41523335,40.87547901,POINT (-73.41523335 40.87547901)
Balmville Cemetery,Orange,1/19/2010,09NR05991,-74.01158773,41.53459636,POINT (-74.01158773 41.53459636)
15th Street - Prospect Park Subway Station (IND),Kings,7/27/2005,04NR05369,-73.97968439,40.6604927,POINT (-73.97968439 40.6604927)
Hurley Historic District,Ulster,10/15/1966,90NR01067,-74.06648581,41.92236135,POINT (-74.06648581 41.92236135)
Old Post Office,Albany,1/20/1972,90NR01644,-73.75035461,42.6489641,POINT (-73.75035461 42.6489641)
Metropolitan Life Insurance Company Complex,New York,1/19/1996,95NR00822,-73.98671149,40.74121223,POINT (-73.98671149 40.74121223)
Rectory of St. George's Episcopal Church,Nassau,5/3/1988,90NR01711,-73.62107668,40.70505725,POINT (-73.62107668 40.70505725)
"West Cayuga Street, House at 21",Cayuga,2/24/1995,95NR00793,-76.42385061,42.71332374,POINT (-76.42385061 42.71332374)
Chestnut Street Historic District,Ulster,9/19/1985,90NR01104,-73.98867756,41.92395626,POINT (-73.98867756 41.92395626)
Vassar Institute,Dutchess,1/20/1972,90NR00368,-73.93153047,41.70555651,POINT (-73.93153047 41.70555651)
North Main Street Historic District--East Hampton,Suffolk,10/2/1986,90NR01939,-72.18431109,40.96572273,POINT (-72.18431109 40.96572273)
LILAC (United States Lighthouse Tender),New York,1/7/2005,04NR05295,-74.01206259,40.73058575,POINT (-74.01206259 40.73058575)
"Thompson, Andrew, House",Orange,1/5/2005,03NR05094,-74.33920102,41.56251233,POINT (-74.33920102 41.56251233)
"Osgood, J. C., Firehouse",Rensselaer,11/2/2000,00NR01638,-73.692461,42.71963549,POINT (-73.692461 42.71963549)
BEAR MOUNTAIN INN,Rockland,8/22/2002,02NR01932,-73.98949095,41.31312496,POINT (-73.98949095 41.31312496)
House at 52 Frost Mill Rd (Wright-Underhill House),Nassau,8/24/2011,11NR06240,-73.56089288,40.88339437,POINT (-73.56089288 40.88339437)
Buffalo and Erie County Historical Society,Erie,4/23/1980,90NR01221,-78.87625714,42.93538369,POINT (-78.87625714 42.93538369)
Brown Farmstead,Orange,12/7/2005,05NR05469,-74.14037473,41.54144631,POINT (-74.14037473 41.54144631)
West Somers Methodist-Episcopal Church & Cemetery,Westchester,11/25/2011,11NR06223,-73.75121873,41.33077992,POINT (-73.75121873 41.33077992)
Wild's Mill Complex,Columbia,6/14/1982,90NR00259,-73.68045281,42.41326441,POINT (-73.68045281 42.41326441)
Mariner's Temple,New York,4/16/1980,90NR00661,-73.99772526,40.71297442,POINT (-73.99772526 40.71297442)
"Ford, Lebbeus, House",Tioga,7/2/1984,90NR02233,-76.19352265,42.31157553,POINT (-76.19352265 42.31157553)
Muitzes Kill Historic District,Rensselaer,7/24/1974,90NR00966,-73.72369923,42.47768917,POINT (-73.72369923 42.47768917)
Drury Cottage,Franklin,11/6/1992,90NR02950,-74.13063282,44.32952605,POINT (-74.13063282 44.32952605)
New York State Armory,Orange,6/18/1981,90NR02319,-74.01320744,41.49974221,POINT (-74.01320744 41.49974221)
FOSTER-MEEKER HOUSE,Suffolk,8/26/2009,09NR05981,-72.64376661,40.81237167,POINT (-72.64376661 40.81237167)
Sherbrook Apartments,Onondaga,2/14/1997,96NR01134,-76.13245264,43.04500277,POINT (-76.13245264 43.04500277)
Hershkind House,Dutchess,11/26/1982,90NR00405,-73.92355099,41.69756587,POINT (-73.92355099 41.69756587)
"Clarke, Luther, House",Tompkins,6/8/1984,90NR02268,-76.30052726,42.49016486,POINT (-76.30052726 42.49016486)
Hessinger Store,Sullivan,6/2/2000,00NR01584,-74.94757637,41.8360927,POINT (-74.94757637 41.8360927)
Wheeler Hill Historic District,Dutchess,6/14/1991,90NR03290,-73.94252799,41.57748768,POINT (-73.94252799 41.57748768)
Whiteface Veterans Memorial Highway Complex,Essex,10/10/2008,03NR05147,-73.89304211,44.37514299,POINT (-73.89304211 44.37514299)
Central Savings Bank,New York,9/8/1983,90NR00832,-73.98120707,40.7797747,POINT (-73.98120707 40.7797747)
Little York Pavilion,Cortland,7/27/1979,90NR00263,-76.15228792,42.71017379,POINT (-76.15228792 42.71017379)
Mott Avenue Control House,Bronx,5/6/1980,90NR00040,-73.9276288,40.81848405,POINT (-73.9276288 40.81848405)
Trinity Chapel,Queens,1/11/2002,01NR01799,-73.75092307,40.6038766,POINT (-73.75092307 40.6038766)
Substation #409 (IND),New York,2/9/2006,05NR05421,-73.98703019,40.72146357,POINT (-73.98703019 40.72146357)
Josiah Woodhull House,Suffolk,8/24/2011,11NR06220,-72.87007735,40.95850414,POINT (-72.87007735 40.95850414)
"East 66th Street, building at 45",New York,5/6/1980,90NR00696,-73.96780055,40.76804806,POINT (-73.96780055 40.76804806)
Bristol House,Livingston,8/31/1989,90NR01384,-77.61213451,42.90289024,POINT (-77.61213451 42.90289024)
Old Saratoga Reformed Church,Saratoga,11/7/1997,97NR01225,-73.58421103,43.09853461,POINT (-73.58421103 43.09853461)
General Society of Mechanics and Tradesmen,New York,11/12/2008,08NR05906,-73.98134215,40.75513228,POINT (-73.98134215 40.75513228)
Conesus Amusement Hall,Livingston,6/10/2005,04NR05355,-77.67632937,42.71931665,POINT (-77.67632937 42.71931665)
Hillside Lodge,Franklin,11/6/1992,93NR00495,-74.14615108,44.35885426,POINT (-74.14615108 44.35885426)
"Phelps, Ezra T., Farm Complex",Wayne,8/13/1997,97NR01211,-77.16447379,43.15466935,POINT (-77.16447379 43.15466935)
Music Hall,Albany,2/18/1971,90NR02828,-73.70173695,42.77566841,POINT (-73.70173695 42.77566841)
South Worcester Historic District,Otsego,11/5/1992,91NR03367,-74.75492485,42.51768436,POINT (-74.75492485 42.51768436)
URGER (canal tugboat),Saratoga,11/29/2001,01NR01869,-73.68714182,42.7965686,POINT (-73.68714182 42.7965686)
Bennington Battlefield,Rensselaer,1/20/1961,90NR00962,-73.30667495,42.93466716,POINT (-73.30667495 42.93466716)
New York Congregational Home for the Aged,Kings,11/5/2008,08NR05903,-73.95433003,40.65276151,POINT (-73.95433003 40.65276151)
"Colvin, Addison B., House",Warren,9/29/1984,90NR02702,-73.65204173,43.31506135,POINT (-73.65204173 43.31506135)
Peachcroft,Orange,3/10/1995,95NR00764,-74.21516762,41.54443457,POINT (-74.21516762 41.54443457)
St. Anthony Convent & School,Onondaga,1/31/2019,18NR00067,-76.15118615,43.07497953,POINT (-76.15118615 43.07497953)
Hunt House,Seneca,8/29/1980,90NR02217,-76.84439241,42.90268161,POINT (-76.84439241 42.90268161)
Bates House,Suffolk,8/18/2017,16NR00134,-72.36270217,41.10484211,POINT (-72.36270217 41.10484211)
Highland Park Historic District,Essex,11/6/1992,90NR02926,-74.12471979,44.33477024,POINT (-74.12471979 44.33477024)
"Harrison, Wallace K., Estate",Suffolk,9/26/1985,90NR01824,-73.44123971,40.80752212,POINT (-73.44123971 40.80752212)
"Sidewalk Clock at 519 3rd Avenue, Manhattan",New York,4/18/1985,90NR00666,-73.97763959,40.7461653,POINT (-73.97763959 40.7461653)
House at 19 Locust Place,Nassau,2/18/1988,90NR01752,-73.65064087,40.84413826,POINT (-73.65064087 40.84413826)
Stephen Harding House,Nassau,8/24/2011,11NR06200,-73.64946583,40.84835495,POINT (-73.64946583 40.84835495)
Church Street Row,Dutchess,11/26/1982,90NR00388,-73.92571015,41.70029251,POINT (-73.92571015 41.70029251)
Frontier House,Niagara,7/8/1974,90NR01979,-79.04246198,43.17321878,POINT (-79.04246198 43.17321878)
Coeymans School (Acton Civill Polytechnic Institute),Albany,12/29/1970,90NR02766,-73.79820689,42.47274512,POINT (-73.79820689 42.47274512)
Verdoy School,Albany,10/3/1985,90NR02796,-73.77720331,42.73268902,POINT (-73.77720331 42.73268902)
FATHER FRANCIS P. DUFFY STATUE AND DUFFY SQUARE,New York,3/12/2001,01NR01728,-73.98497193,40.75907746,POINT (-73.98497193 40.75907746)
South Bushwick Reformed Protestant Dutch Church Complex,Kings,11/4/1982,90NR01332,-73.92604397,40.69435683,POINT (-73.92604397 40.69435683)
"Homestead, The",Livingston,8/30/1974,90NR01378,-77.81684297,42.79025122,POINT (-77.81684297 42.79025122)
Tripp House & Store Complex,Greene,3/12/2001,01NR01743,-74.15479286,42.41263848,POINT (-74.15479286 42.41263848)
Glenville District No. 5 Schoolhouse,Schenectady,5/19/2014,13NR06506,-74.07890725,42.93976607,POINT (-74.07890725 42.93976607)
Westminster House Club House,Erie,5/25/2018,17NR00103,-78.85164935,42.89167223,POINT (-78.85164935 42.89167223)
"Morrison, Roderick M., House",Yates,8/24/1994,94NR00641,-77.06362538,42.66483339,POINT (-77.06362538 42.66483339)
Fort Plain Historic District,Montgomery,8/15/2012,12NR06342,-74.62738437,42.93255769,POINT (-74.62738437 42.93255769)
Parrott Hall,Ontario,8/12/1971,90NR01987,-77.0080211,42.87689763,POINT (-77.0080211 42.87689763)
Gray-Jewett House,Montgomery,10/5/2005,05NR05458,-74.19979472,42.93360389,POINT (-74.19979472 42.93360389)
Ontario & Western Railroad Passenger Station,Ulster,2/22/1999,99NR01453,-74.36515719,41.739702,POINT (-74.36515719 41.739702)
Odell House - Rochambeau Headquarters,Westchester,3/28/1973,90NR02436,-73.81739043,41.01951876,POINT (-73.81739043 41.01951876)
Ticonderoga High School,Essex,11/15/1988,90NR00490,-73.427468,43.84284782,POINT (-73.427468 43.84284782)
"Horton, Joseph, House",Dutchess,11/2/1988,90NR00363,-73.87122852,41.6234819,POINT (-73.87122852 41.6234819)
Wallace Building,New York,8/28/2003,03NR05088,-74.00832935,40.70684434,POINT (-74.00832935 40.70684434)
"Sayer, Mary Van Duzer, House",Orange,3/8/1996,90NR03053,-74.08648694,41.41133449,POINT (-74.08648694 41.41133449)
"Richardson, William, House",Cayuga,3/15/2005,04NR05331,-76.67927499,42.88447725,POINT (-76.67927499 42.88447725)
Wethersfield Stone Schoolhouse,Oneida,9/7/2005,05NR05437,-75.22017802,43.25826481,POINT (-75.22017802 43.25826481)
"Smith, Alexander, Carpet Mills Historic District",Westchester,8/11/1983,90NR02469,-73.88285689,40.94306424,POINT (-73.88285689 40.94306424)
House at 332 Franklin Avenue,Nassau,2/18/1988,90NR01759,-73.65000578,40.84509739,POINT (-73.65000578 40.84509739)
Public School 111 and Public School 9 Annex,Kings,12/14/1981,90NR01347,-73.96891971,40.67606529,POINT (-73.96891971 40.67606529)
Germania Life Insurance Company Building,New York,5/25/2001,01NR01771,-73.9885655,40.73659871,POINT (-73.9885655 40.73659871)
American Stock Exchange,New York,6/2/1978,90NR00734,-74.01282926,40.70876474,POINT (-74.01282926 40.70876474)
"Borland, John, House",Jefferson,9/27/1985,90NR01168,-76.33657959,44.12679817,POINT (-76.33657959 44.12679817)
Llenroc,Tompkins,4/16/1980,90NR02255,-76.49214354,42.44660976,POINT (-76.49214354 42.44660976)
Rice-Dodge-Burgess Farm,Herkimer,11/24/2015,15NR00052,-75.11782551,42.91286131,POINT (-75.11782551 42.91286131)
"Haynes, Lemuel, House",Washington,5/15/1975,90NR02745,-73.28328103,43.37082575,POINT (-73.28328103 43.37082575)
State Street Methodist Episcopal Church,Oswego,2/20/2013,12NR06404,-76.40957713,43.31877244,POINT (-76.40957713 43.31877244)
Chapman Residence,Onondaga,2/14/1997,96NR01113,-76.15636096,43.06756619,POINT (-76.15636096 43.06756619)
Strathmore 'By the Park' Historic District,Onondaga,7/12/2006,04NR05327,-76.17148176,43.02154571,POINT (-76.17148176 43.02154571)
79th Street Subway Station (IRT),New York,9/17/2004,04NR05288,-73.98000061,40.78382739,POINT (-73.98000061 40.78382739)
Oak Hill Cemetery,Greene,5/11/2011,11NR06218,-74.16077154,42.41197318,POINT (-74.16077154 42.41197318)
New York State Inebriate Asylum,Broome,7/24/1996,96NR01039,-75.86560645,42.10659526,POINT (-75.86560645 42.10659526)
Callicoon Methodist Church and Parsonage,Sullivan,11/4/1993,93NR00466,-75.05543181,41.76695692,POINT (-75.05543181 41.76695692)
"West Street, Building at 21",New York,3/12/1999,98NR01402,-74.01553408,40.70639156,POINT (-74.01553408 40.70639156)
Grace United Methodist Church,Hamilton,2/12/2015,14NR06592,-74.36585737,43.50099767,POINT (-74.36585737 43.50099767)
East Irvington School,Westchester,10/6/1983,90NR02437,-73.84768649,41.04654502,POINT (-73.84768649 41.04654502)
Kip-Beekman-Heermance Site,Dutchess,4/19/1989,93NR00453,-73.94540085,41.92585378,POINT (-73.94540085 41.92585378)
"Asbury United Methodist Church, and Bethel Chapel and Cemetery",Westchester,3/31/2000,99NR01565,-73.88291879,41.20879775,POINT (-73.88291879 41.20879775)
Greenport Railroad Complex,Suffolk,7/20/1989,90NR01923,-72.36324237,41.09968419,POINT (-72.36324237 41.09968419)
Fort Decker,Orange,6/13/1974,90NR02323,-74.70154358,41.37847497,POINT (-74.70154358 41.37847497)
St. Paul-North Water Streets Historic District,Monroe,10/11/1984,90NR01516,-77.61079434,43.16023545,POINT (-77.61079434 43.16023545)
Kent-Delord House,Clinton,2/18/1971,90NR00173,-73.44810911,44.70065577,POINT (-73.44810911 44.70065577)
"Burhans, Harry N., House",Onondaga,8/30/2007,07NR05718,-76.11093737,43.04476348,POINT (-76.11093737 43.04476348)
St. Philip's Church in the Higlands Complex,Putnam,10/11/1995,91NR00254,-73.93865137,41.38203136,POINT (-73.93865137 41.38203136)
Schuyler County Courthouse Complex,Schuyler,6/5/1974,90NR02203,-76.87094704,42.37694017,POINT (-76.87094704 42.37694017)
"DuBois, Peter C., House",Dutchess,1/28/2004,03NR05163,-73.9734382,41.48373324,POINT (-73.9734382 41.48373324)
Caledonia Library,Livingston,12/14/2007,07NR05708,-77.8541727,42.97273759,POINT (-77.8541727 42.97273759)
St. James Episcopal Church,Schuyler,11/21/2012,12NR06331,-76.87125706,42.38004245,POINT (-76.87125706 42.38004245)
Wall Street Subway Station (IRT),New York,9/17/2004,04NR05279,-74.01184675,40.7075925,POINT (-74.01184675 40.7075925)
Old Stone Warehouse,Monroe,10/15/1973,90NR01519,-77.60666709,43.14887421,POINT (-77.60666709 43.14887421)
Watrous Peck House,Ontario,3/13/2017,16NR00037,-77.52373321,42.8698401,POINT (-77.52373321 42.8698401)
Troy Savings Bank,Rensselaer,1/1/1989,90NR02848,-73.6913765,42.73045083,POINT (-73.6913765 42.73045083)
Stevens Hill Farm,Greene,11/9/2018,18NR00037,-74.01621577,42.41509394,POINT (-74.01621577 42.41509394)
Concourse Yard Entry Buildings (IND),Bronx,2/9/2006,05NR05429,-73.8889064,40.87630867,POINT (-73.8889064 40.87630867)
Maple Street Historic District,Steuben,12/6/1996,96NR00964,-77.22953731,42.10996995,POINT (-77.22953731 42.10996995)
Louis Will Residence,Onondaga,11/10/2009,09NR05970,-76.14680227,43.05777566,POINT (-76.14680227 43.05777566)
First Presbyterian Church,Yates,9/24/2004,04NR05261,-76.97703391,42.522492,POINT (-76.97703391 42.522492)
Franklin School,Schenectady,6/30/1983,90NR02662,-73.92241737,42.82282642,POINT (-73.92241737 42.82282642)
Buskirk Covered Bridge,Rensselaer,3/8/1978,90NR02551,-73.43317074,42.95826482,POINT (-73.43317074 42.95826482)
Beaverkill Valley Inn,Ulster,9/12/1985,90NR01066,-74.75208651,42.02278693,POINT (-74.75208651 42.02278693)
United States Post Office-Scarsdale,Westchester,5/11/1989,90NR02511,-73.80637936,40.99000658,POINT (-73.80637936 40.99000658)
Weighlock Building,Onondaga,2/18/1971,90NR02097,-76.14889119,43.05066658,POINT (-76.14889119 43.05066658)
Leis Block,Franklin,11/6/1992,93NR00492,-74.13234651,44.32912999,POINT (-74.13234651 44.32912999)
Smith House,Orange,8/8/1996,96NR01033,-74.23849013,41.54944964,POINT (-74.23849013 41.54944964)
"Onderdonk, Horatio Gates, House",Nassau,4/16/1980,90NR01954,-73.69228224,40.79409971,POINT (-73.69228224 40.79409971)
Markham Cobblestone Farmhouse and Barn Complex,Livingston,8/13/1989,90NR01362,-77.63562969,42.93212684,POINT (-77.63562969 42.93212684)
Morton Memorial Library,Ulster,2/21/1997,97NR01156,-74.47967195,42.13408668,POINT (-74.47967195 42.13408668)
Bethleham Grange No. 137,Albany,1/11/2002,01NR01855,-73.80938665,42.548431,POINT (-73.80938665 42.548431)
Fulton Public Library,Oswego,1/15/1999,98NR01417,-76.41583574,43.319559,POINT (-76.41583574 43.319559)
Payne Avenue High School,Niagara,3/7/2019,18NR00083,-78.87173594,43.04046558,POINT (-78.87173594 43.04046558)
Enlarged Erie Canal Historic District (Discontiguous),Albany,5/14/2004,03NR05118,-73.70381781,42.77733322,POINT (-73.70381781 42.77733322)
Bellport Academy,Suffolk,7/4/1980,96NR01016,-72.93805397,40.75401913,POINT (-72.93805397 40.75401913)
Congregation Ansche Chesed,New York,6/9/2014,13NR06498,-73.95294799,40.80187203,POINT (-73.95294799 40.80187203)
"Schoolcraft, John, House",Albany,11/10/1982,90NR01664,-73.90950065,42.70377525,POINT (-73.90950065 42.70377525)
Hamilton Farmstead,Oswego,11/14/1991,91NR00026,-76.23148722,43.47532157,POINT (-76.23148722 43.47532157)
Salisbury Center Covered Bridge,Herkimer,6/19/1972,90NR00586,-74.78767029,43.14086601,POINT (-74.78767029 43.14086601)
American Thread Building,New York,1/20/2005,04NR05314,-74.00571602,40.72059517,POINT (-74.00571602 40.72059517)
"Scott, R. and W., Ice Company Powerhouse and Ice House Site",Columbia,2/21/1985,90NR00243,-73.78845096,42.3575322,POINT (-73.78845096 42.3575322)
St. John's Episcopal Church,Ontario,11/7/1978,90NR02008,-77.05769081,42.95660985,POINT (-77.05769081 42.95660985)
Hart-Cluett Mansion,Rensselaer,4/11/1973,90NR00981,-73.69229959,42.72950178,POINT (-73.69229959 42.72950178)
Modern Times School,Suffolk,12/23/1994,94NR00728,-73.25383699,40.77645468,POINT (-73.25383699 40.77645468)
Ryan Cottage,Franklin,11/6/1992,90NR02944,-74.15254599,44.31855911,POINT (-74.15254599 44.31855911)
"Ames, Orson, House",Oswego,12/4/2001,01NR01862,-76.235103,43.45944065,POINT (-76.235103 43.45944065)
"Tilden, Governor Samuel J., Monument",Columbia,7/14/2006,05NR05542,-73.38564067,42.47496051,POINT (-73.38564067 42.47496051)
Hiram Griggs House,Albany,7/19/2010,09NR06052,-74.03524934,42.7016173,POINT (-74.03524934 42.7016173)
Traver House,Dutchess,7/9/1987,90NR00356,-73.89665758,41.94172879,POINT (-73.89665758 41.94172879)
"Frisbie, Augustus, House",Herkimer,12/9/1999,99NR01496,-74.78663072,43.14298092,POINT (-74.78663072 43.14298092)
Admiral's House,New York,7/24/1972,90NR00791,-74.01314598,40.6903376,POINT (-74.01314598 40.6903376)
Pantigo Road Historic District,Suffolk,7/21/1988,90NR01940,-72.17810066,40.96675362,POINT (-72.17810066 40.96675362)
CANASERAGA FOUR CORNERS HISTORIC DISTRICT,Allegany,3/6/2002,02NR01898,-77.77730636,42.46138269,POINT (-77.77730636 42.46138269)
"Coeymans, Ariaantje, House",Albany,10/18/1972,90NR02767,-73.79165573,42.47659557,POINT (-73.79165573 42.47659557)
Charles H. Coons House,Columbia,7/22/2015,15NR00022,-73.87483769,42.10423086,POINT (-73.87483769 42.10423086)
U.S. Post Office-Buffalo (Buffalo and Erie Co. Community College,Erie,3/16/1972,90NR01212,-78.87259209,42.8817634,POINT (-78.87259209 42.8817634)
"Hovey, Charles C., Residence and Strong Leather Company Mill",Chenango,12/6/1996,96NR01100,-75.4826663,42.29594821,POINT (-75.4826663 42.29594821)
"Pratt, Zadock, House",Greene,8/14/1986,90NR00545,-74.43214457,42.31482285,POINT (-74.43214457 42.31482285)
South Ann Street-Mill Street Historic District,Herkimer,3/6/2008,07NR05813,-74.859496,43.04063401,POINT (-74.859496 43.04063401)
Clarkson Corners Historic District,Monroe,9/2/1994,94NR00734,-77.92833617,43.23181097,POINT (-77.92833617 43.23181097)
Seventh Day Baptist Church,Madison,10/5/2005,05NR05439,-75.88508141,42.76126193,POINT (-75.88508141 42.76126193)
Watkins Glen Grand Prix Road Course,Schuyler,11/25/2002,02NR01934,-76.88922284,42.37151611,POINT (-76.88922284 42.37151611)
Oswego Armory,Oswego,5/19/1988,90NR02154,-76.50915346,43.45386458,POINT (-76.50915346 43.45386458)
Lustron Houses of Jermain Street Historic District,Albany,7/29/2009,08NR05904,-73.80113303,42.67927326,POINT (-73.80113303 42.67927326)
St. John's Episcopal Church,Niagara,5/10/1990,91NR03351,-79.04960738,43.25373141,POINT (-79.04960738 43.25373141)
Church of Saints Peter and Paul Complex,Monroe,6/20/2012,11NR06271,-77.63253917,43.15191261,POINT (-77.63253917 43.15191261)
Edward W. Stanley Recreation Center,Oneida,2/17/2010,09NR05985,-75.37678238,43.05361483,POINT (-75.37678238 43.05361483)
Walton And Willett Stone Store,Oswego,5/24/1976,90NR02149,-76.51202453,43.45958666,POINT (-76.51202453 43.45958666)
Stuyvesant Heights Historic District,Kings,12/4/1975,90NR01342,-73.93590998,40.68141017,POINT (-73.93590998 40.68141017)
"Douglas, Adelaide L. T., House",New York,7/15/1982,90NR00781,-73.97941234,40.74913112,POINT (-73.97941234 40.74913112)
Tusten Stone Arch Bridge,Sullivan,7/27/2000,00NR01640,-75.01936939,41.55605913,POINT (-75.01936939 41.55605913)
Coulter Cottage,Essex,11/6/1992,90NR02932,-74.12607606,44.3265709,POINT (-74.12607606 44.3265709)
Old Episcopal Manse,Greene,11/22/2000,00NR01695,-74.43272278,42.31416873,POINT (-74.43272278 42.31416873)
Covert Cobblestone Farmhouse,Monroe,11/7/1995,95NR00888,-77.73099291,43.2299373,POINT (-77.73099291 43.2299373)
First Presbyterian Church,Clinton,11/12/1982,90NR00184,-73.4544665,44.69732192,POINT (-73.4544665 44.69732192)
Ocean Parkway,Kings,9/8/1983,90NR01303,-73.96876738,40.61088419,POINT (-73.96876738 40.61088419)
Temple of Israel Synagogue,Queens,2/5/2014,13NR06491,-73.80939039,40.58723677,POINT (-73.80939039 40.58723677)
St. Cecilia's Church and Convent,New York,2/2/1984,90NR00617,-73.94727055,40.79236048,POINT (-73.94727055 40.79236048)
St. Patrick's Roman Catholic Church Complex,Albany,,90NR01698,-73.80234819,42.47336959,POINT (-73.80234819 42.47336959)
Kensington Gardens Apartment Complex,Erie,12/7/2010,10NR06153,-78.80018877,42.94109614,POINT (-78.80018877 42.94109614)
"Hilton Avenue, Building at 111",Nassau,11/14/1978,91NR00235,-73.63910906,40.72755291,POINT (-73.63910906 40.72755291)
The Calumet,Erie,11/29/2010,10NR06152,-78.87494822,42.8901868,POINT (-78.87494822 42.8901868)
